
Status,ID,Revision,Name,Buyer,Start,End,,Type,
Declined,CTLKTQ00001729,0,SCM Transformation Assessment,Lumen,07/10/2023,10/06/2023,S,Default,
Approved,CTLKTQ00001728,0,S250 - Filenet Image Services SOW,Lumen,08/07/2023,09/30/2023,S,Default,
Approved,CTLKTQ00001720,0,SOW/PCR for IT services - IBM,Lumen,06/23/2023,08/31/2024,S,Default,
Approved,CTLKTQ00001719,0,SOW/PCR - Business Support Folks,Lumen,06/19/2023,12/31/2023,S,Default,
Approved,CTLKTQ00001715,0,S250 - IBM ESITE Modernization,Lumen,07/01/2023,11/30/2023,S,Default,
Approved,CTLKTQ00001704,0,2023 Contracts Mastery Enhancements - IBM,Lumen,04/28/2023,12/31/2023,S,Default,
Approved,CTLKTQ00001699,0,S250- IBM-SOW-2023 EWAS,Lumen,07/01/2023,12/31/2023,S,Default,
Approved,CTLKTQ00001693,1,S250 - RTE for CTL,Lumen,07/01/2023,12/31/2023,S,Default,
Approved,CTLKTQ00001688,0,SA For Brightspeed Exist Program,Lumen,07/01/2023,12/31/2023,S,Default,
Approved,CTLKTQ00001681,0,IBM ODE Gap Closure and Enhancements,Lumen,07/01/2023,12/31/2023,S,Default,
Approved,CTLKTQ00001677,1,S250 - Mass Markets SMS Integration,Lumen,06/27/2023,09/30/2023,S,Default,
Approved,CTLKTQ00001676,1,S250 - Lumen Mass Markets SMS Testing,Lumen,07/09/2023,08/31/2023,S,Default,
Approved,CTLKTQ00001672,1,S250 - ERP Solution Architect,Lumen,07/01/2023,12/15/2023,S,Default,
Approved,CTLKTQ00001669,1,S250 - IBM OVA Routing Enhancements,Lumen,07/17/2023,08/31/2023,S,Default,
Approved,CTLKTQ00001668,1,S250 - IBM TSA Exit for Enterprise - Discovery Project Connect,Lumen,06/12/2023,09/30/2023,S,Default,
Approved,CTLKTQ00001663,1,S250- SA for Digital First Mission,Lumen,07/01/2023,12/31/2023,S,Default,
Approved,CTLKTQ00001658,1,Lumen Mass Markets SM PM,Lumen,06/12/2023,12/30/2023,S,Default,
Approved,CTLKTQ00001655,0,S250- Itential / SOM Application Development,Lumen,07/01/2023,12/31/2023,S,Default,
Approved,CTLKTQ00001652,1,S250 - ERP IBM Product Mastery,Lumen,06/15/2023,07/30/2023,S,Default,
Approved,CTLKTQ00001645,0,2023/24 Network Sys Admin - AMS IBM Monthly Billing - PRA7509.SS26.0,Lumen,06/01/2023,03/31/2024,S,Default,
Approved,CTLKTQ00001638,0,S250-IBM SOW for Application Portfolio Modernization,Lumen,03/27/2023,05/02/2023,S,Default,
Approved,CTLKTQ00001632,2,LEDS Year 2 SOW,Lumen,12/01/2022,11/30/2023,S,Default,
Approved,CTLKTQ00001627,0,S250 - IBM - CABS Support - Vertex,Lumen,04/24/2023,12/31/2023,S,Default,
Approved,CTLKTQ00001618,0,Statement of Work #1062 for: ServiceNow Implementation resources,Lumen,04/01/2023,12/31/2023,S,Default,
Approved,CTLKTQ00001617,1,Statement of Work #1063 for: ServiceNow Data Load Resources,Lumen,01/01/2023,12/31/2023,S,Default,
Approved,CTLKTQ00001592,1,Data Governance ERP Migration Data Applications Core Domains,Lumen,03/06/2023,10/28/2023,S,Default,
Approved,CTLKTQ00001588,1,IBM Quality Assurance and Load and Performance Testing Project Merlin,Lumen,03/15/2023,10/31/2023,S,Default,
Approved,CTLKTQ00001582,3,CRIS Enterprise Billing Conversion Program,Lumen,03/20/2023,09/30/2023,S,Default,
Approved,CTLKTQ00001571,1,IBM - CRIS to Blue Marble/Ensemble Phase 3,Lumen,02/01/2023,08/31/2023,S,Default,
Approved,CTLKTQ00001568,1,IBM WVA-038 Watson Chat PCR for Quantum Fiber Field Services Chat Setup Phase 1,Lumen,01/30/2023,07/31/2023,S,Default,
Approved,CTLKTQ00001556,3,S250- IBM WFA-IX SOW,Lumen,02/20/2023,10/31/2023,S,Default,
Approved,CTLKTQ00001552,2,IBM Ops Auto Factory,Lumen,02/20/2023,04/03/2023,S,Default,
Approved,CTLKTQ00001550,2,IBM SOW 1056 Ensemble Extract for Brightspeed,Lumen,02/20/2023,06/30/2024,S,Default,
Approved,CTLKTQ00001540,2,Storefront Integration and Expansion,Lumen,01/20/2023,07/19/2023,S,Default,
Approved,CTLKTQ00001539,2,Order Status Data Applications Phase 2,Lumen,02/15/2023,07/30/2023,S,Default,
Approved,CTLKTQ00001526,0,IBM Consulting SOW 1054 for: Brightspeed RAR Exit from Ensemble,Lumen,02/15/2023,03/28/2023,S,Default,
Approved,CTLKTQ00001520,0,Project Change Request 2 – Capacity for TDM Migration Phase-1,Lumen,02/21/2023,05/19/2023,S,Default,
